Name,Place Type,Tier,Star,Status,Tags,City,Country,Town,Address,Latitude,Longitude,Apple ID,Source Guides,Conflict
InterStellar BBQ,Restaurant,Fair,,Visited,,Austin,United States,Austin,"12233 Ranch Rd 620 N, Ste 105, Austin, TX 78750, United States",30.4614615,-97.8151779,I7948F5B22027B0B4,Fair_Restaurants_,
Jack Allen's Kitchen,Restaurant,Fair,,Visited,,Austin,United States,Cedar Park,"1345 E Whitestone Blvd, Cedar Park, TX  78613, United States",30.5267284,-97.8133982,I6E89C4A552AE90A7,Fair_Restaurants_,
Jack Allen's Kitchen,Restaurant,Fair,,Visited,,Austin,United States,Austin,"7720 Highway 71 West, Austin, TX 78735, United States",30.243576,-97.8826261,IB0977F7B0DC42D26,Fair_Restaurants_,
Jacoby's Restaurant & Mercantile,Restaurant,Fair,,Visited,,Austin,United States,Austin,"3235 E Cesar Chavez St, Austin, TX  78702, United States",30.2515058,-97.7073496,I80B5FCE8737238DA,Fair_Restaurants_,
JD's Supermarket,Grocery,,,Visited,,Austin,United States,Austin,"6506 Decker Ln, Austin, TX  78724, United States",30.2904822,-97.6293756,IBCED30BA4314BAA0,Grocery,
Jeffrey's,Restaurant,Experience,,Visited,,Austin,United States,Austin,"1204 West Lynn St, Austin, TX 78703, United States",30.2803712,-97.7591542,I51CEAC4609E9645B,Experience_Spots,
Jester King,Bar,Fair,,Visited,,Austin,United States,Austin,"13187 Fitzhugh Rd, Austin, TX  78736, United States",30.230642,-97.999222,IBDF0770A3AD6771C,Fair_Bars,
June's All Day,Restaurant,Fair,Yes,Visited,Breakfast & brunch,Austin,United States,Austin,"1722 S Congress Ave, Austin, TX  78704, United States",30.24625,-97.7511388,IE2BFCE17517A5D0A,Breakfast___Brunch; Fair_Restaurants_; Michael_s_Top_Faves,
Juniper,Restaurant,Destination,,Visited,,Austin,United States,Austin,"2400 E Cesar Chavez St, Unit 304, Austin, TX  78702, United States",30.2546977,-97.7172357,IF8F69B938B9D21F8,Designation,
Jupiter Supper Club,Unclassified,,,Not visited,,Austin,United States,Austin,"718 Congress Ave, Austin, TX  78701, United States",30.2697086,-97.7425653,I2A49B8B6BD69EE37,Try_List,
Justine's,Restaurant,Experience,Yes,Visited,,Austin,United States,Austin,"4710 E Fifth St, Austin, TX  78702, United States",30.2531615,-97.7005909,IBE2106DF260EF789,Experience_Spots; Michael_s_Top_Faves,
K BBQ,Restaurant,Fair,,Visited,,Austin,United States,Austin,"6929 Airport Blvd, Unit 176, Austin, TX 78752, United States",30.3364355,-97.717241,I187569F541884230,Fair_Restaurants_,
Kelly's Irish,Bar,Fair,,Visited,,Austin,United States,Austin,"519 W Oltorf St, Austin, TX  78704, United States",30.2413608,-97.7589548,IAA57C93AE4B8EEE4,Fair_Bars; Fair_Restaurants_,
Kemuri Tatsu-Ya,Restaurant,Destination,,Visited,,Austin,United States,Austin,"2713 E 2nd St, Austin, TX 78702, United States",30.253855,-97.712921,I8EA20959C5AFF780,Designation,
KG BBQ,Food truck,,,Visited,,Austin,United States,Austin,"3108 Manor Rd, Austin, TX 78723, United States",30.2867658,-97.7051587,IBA8B54753821C69B,Food_Trucks,
Kinfolk Lounge & Library,Bar,Cool,,Visited,,Austin,United States,Austin,"303 Red River St, Austin, TX  78701, United States",30.2638668,-97.7379646,IC5C270EE83E63BCB,Cool_Bars,
Kitty Cohen's,Bar,Fair,,Visited,,Austin,United States,Austin,"2211 Webberville Rd, Austin, TX  78702, United States",30.2617949,-97.7164382,ID0DAFAC82194F68F,Fair_Bars,
Knotty Deck and Bar,Restaurant,Destination,,Not visited,,Austin,United States,Austin,"9721 Arboretum Blvd, Austin, TX  78759, United States",30.3917979,-97.750302,I98283C6990DE0CE8,Designation; Try_List,TIER+UNVISITED
Krause Springs,Outdoors & attraction,,,Visited,,Austin,United States,Spicewood,"424 County Road 404, Spicewood, TX 78669, United States",30.4792142,-98.1444901,IDEEE65B3886B0B89,Fun_Locations,
Krause's Cafe,Restaurant,Fair,,Visited,,Austin,United States,New Braunfels,"148 S Castell Ave, New Braunfels, TX  78130, United States",29.7013569,-98.1249918,I78968798E0FC520,Fair_Restaurants_,
la Barbecue,Restaurant,Destination,,Visited,,Austin,United States,Austin,"2401 E Cesar Chavez, Austin, TX 78702, United States",30.2544845,-97.7176005,ID27477247784E9FB,Designation,
La Santa Barbacha,Food truck,,,Visited,,Austin,United States,Austin,"2806 Manor Rd, Austin, TX  78722, United States",30.2857204,-97.7115119,I7AADD9D9ECD67225,Food_Trucks,
La Volta Pizza Club,Restaurant,Fair,,Not visited,,Austin,United States,Austin,"900 W 10th St, Austin, TX  78703, United States",30.274933,-97.7517232,I95C63F3EC4E16CA3,Fair_Restaurants_; Try_List,TIER+UNVISITED
La Wagyeria,Unclassified,,,Not visited,,Austin,United States,Austin,"440D E St Elmo Rd, Bldg D, Austin, TX  78745, United States",30.2164242,-97.7618657,ICD1DAFD3C0DF6B1D,Try_List,
Laika,Dessert,,,Visited,,Austin,United States,New Braunfels,"1430 Unicorn Ave, Unit 105, New Braunfels, TX  78130, United States",29.6885875,-98.1199548,I2D3B2160B1D238E0,Dessert,
Lake Austin Spa Resort,Hotel,,,Visited,,Austin,United States,Austin,"1705 S Quinlan Park Rd, Austin, TX  78732, United States",30.3270826,-97.9257023,I71296831605EF988,Hotels,
Lakeway Resort And Spa,Hotel,,,Visited,,Austin,United States,Lakeway,"101 Lakeway Dr, Lakeway, TX 78734, United States",30.3746858,-97.9867369,I46D3039364B902D1,Hotels,
Lala’s,Bar,Fair,,Visited,,Austin,United States,Austin,"3008 Davis Ln, Austin, TX  78745, United States",30.1910742,-97.8320664,I9F7D17BF77EC8A7C,Fair_Bars,
Lamberts,Restaurant,Fair,Yes,Visited,,Austin,United States,Austin,"401 W 2nd St, Austin, TX 78701, United States",30.2652304,-97.7478781,I652813FBA871BFF6,Fair_Restaurants_; Michael_s_Top_Faves,
Las Perlas,Bar,Fair,,Visited,,Austin,United States,Austin,"405 E 7th St, Austin, TX  78701, United States",30.2677457,-97.7386819,I39DD8EC7C7FDB5DE,Fair_Bars,
Latchkey,Bar,,,Visited,Night out,Austin,United States,Austin,"1308 E 6th St, Austin, TX  78702, United States",30.2639277,-97.7286994,IFEE4AFCD402FBA5F,Night_Out,
Launderette,Restaurant,Destination,,Visited,,Austin,United States,Austin,"2115 Holly St, Austin, TX  78702, United States",30.2518757,-97.7227664,I51B463BA69F4601A,Designation,
Laurel Restaurant,Restaurant,,Yes,Visited,Breakfast & brunch,Austin,United States,West Lake Hills,"320 S Capital of Texas Hwy Bldg B, West Lake Hills, TX  78746, United States",30.3008876,-97.8293279,I2C14D9F398CD939A,Breakfast___Brunch; Michael_s_Top_Faves,
Lenoir,Restaurant,Destination,,Not visited,,Austin,United States,Austin,"1807 S 1st St, Austin, TX  78704, United States",30.2468501,-97.7558863,IF4BFD4B65E7A8B20,Designation; Try_List,TIER+UNVISITED
Leona Botanical Cafe & Bar,Restaurant,,,Visited,Breakfast & brunch,Austin,United States,Sunset Valley,"6405 Brodie Ln, Sunset Valley, TX  78745, United States",30.2177583,-97.8261449,IF505AABA9302C949,Breakfast___Brunch,
Lick Honest Ice Creams,Dessert,,,Visited,,Austin,United States,Austin,"1100 S Lamar Blvd, Austin, TX 78704, United States",30.2555022,-97.7625551,I66D37E754CC0DF82,Dessert,
Limestone Rooftop,Bar,,,Visited,Rooftop,Austin,United States,Austin,"68 East Ave, Austin, TX  78701, United States",30.2583305,-97.7381301,I32D05470DCD3F15,Rooftop,
Lin Asian Bar + Dim Sum Restaurant,Restaurant,Fair,,Visited,,Austin,United States,Austin,"1203 W 6th St, Austin, TX  78703, United States",30.2729064,-97.7579807,I912B679ED066F6B9,Fair_Restaurants_,
Ling Kitchen,Restaurant,Experience,,Visited,,Austin,United States,Austin,"8423 Research Blvd, Austin, TX  78758, United States",30.3593411,-97.7159092,IB218669445110A1F,Experience_Spots,
